# Generated using https://github.com/tstellanova/wmm2015_explorer/
#
# min alt: 1.000000 lat: -90.000000 lon: -180.000000 year: 2019.100000
# max alt: 100.000000 lat: 90.000000 lon: 180.000000 year: 2019.100000 
# step alt: 500.000000 lat: 5.000000 lon: 2.500000 year: 1.000000 
# ===============
# lat_deg, lon_deg, mag_x, mag_y, mag_z 
-80.00, 67.50,	  1927.142,-17363.634,-50466.442 
-80.00, 70.00,	  1161.766,-17271.693,-50917.604 
-80.00, 72.50,	   400.631,-17138.056,-51370.002 
-80.00, 75.00,	  -353.955,-16962.795,-51822.386 
-80.00, 77.50,	 -1099.686,-16746.189,-52273.564 
-80.00, 80.00,	 -1834.273,-16488.668,-52722.301 
-80.00, 82.50,	 -2555.460,-16190.815,-53167.325 
-80.00, 85.00,	 -3261.033,-15853.418,-53607.447 
-80.00, 87.50,	 -3948.836,-15477.413,-54041.467 
-80.00, 90.00,	 -4616.785,-15063.903,-54468.217 
-80.00, 92.50,	 -5262.881,-14614.149,-54886.580 
-80.00, 95.00,	 -5885.219,-14129.549,-55295.451 
-80.00, 97.50,	 -6481.993,-13611.621,-55693.736 
-80.00,100.00,	 -7051.520,-13062.029,-56080.435 
-80.00,102.50,	 -7592.240,-12482.554,-56454.605 
-80.00,105.00,	 -8102.724,-11875.066,-56815.334 
-80.00,107.50,	 -8581.680,-11241.530,-57161.782 
-80.00,110.00,	 -9027.962,-10583.988,-57493.172 
-80.00,112.50,	 -9440.572, -9904.546,-57808.809 
-80.00,115.00,	 -9818.651, -9205.345,-58108.012 
-80.00,117.50,	-10161.499, -8488.569,-58390.203 
-80.00,120.00,	-10468.570, -7756.430,-58654.896 
-80.00,122.50,	-10739.460, -7011.139,-58901.653 
-80.00,125.00,	-10973.917, -6254.903,-59130.110 
-80.00,127.50,	-11171.811, -5489.900,-59339.917 
-80.00,130.00,	-11333.176, -4718.295,-59530.875 
-80.00,132.50,	-11458.172, -3942.207,-59702.846 
-80.00,135.00,	-11547.071, -3163.697,-59855.694 
-80.00,137.50,	-11600.273, -2384.769,-59989.399 
-80.00,140.00,	-11618.276, -1607.354,-60103.949 
-80.00,142.50,	-11601.670,  -833.309,-60199.360 
-80.00,145.00,	-11551.157,   -64.414,-60275.779 
-80.00,147.50,	-11467.517,   697.642,-60333.384 
-80.00,150.00,	-11351.598,  1451.259,-60372.382 
-80.00,152.50,	-11204.314,  2194.931,-60393.029 
